@relation experiment_02

@attribute X1_ActualPosition numeric
@attribute X1_ActualVelocity numeric
@attribute X1_ActualAcceleration numeric
@attribute X1_CommandPosition numeric
@attribute X1_CommandVelocity numeric
@attribute X1_CommandAcceleration numeric
@attribute X1_CurrentFeedback numeric
@attribute X1_DCBusVoltage numeric
@attribute X1_OutputCurrent numeric
@attribute X1_OutputVoltage numeric
@attribute X1_OutputPower numeric
@attribute Y1_ActualPosition numeric
@attribute Y1_ActualVelocity numeric
@attribute Y1_ActualAcceleration numeric
@attribute Y1_CommandPosition numeric
@attribute Y1_CommandVelocity numeric
@attribute Y1_CommandAcceleration numeric
@attribute Y1_CurrentFeedback numeric
@attribute Y1_DCBusVoltage numeric
@attribute Y1_OutputCurrent numeric
@attribute Y1_OutputVoltage numeric
@attribute Y1_OutputPower numeric
@attribute Z1_ActualPosition numeric
@attribute Z1_ActualVelocity numeric
@attribute Z1_ActualAcceleration numeric
@attribute Z1_CommandPosition numeric
@attribute Z1_CommandVelocity numeric
@attribute Z1_CommandAcceleration numeric
@attribute Z1_CurrentFeedback numeric
@attribute Z1_DCBusVoltage numeric
@attribute Z1_OutputCurrent numeric
@attribute Z1_OutputVoltage numeric
@attribute S1_ActualPosition numeric
@attribute S1_ActualVelocity numeric
@attribute S1_ActualAcceleration numeric
@attribute S1_CommandPosition numeric
@attribute S1_CommandVelocity numeric
@attribute S1_CommandAcceleration numeric
@attribute S1_CurrentFeedback numeric
@attribute S1_DCBusVoltage numeric
@attribute S1_OutputCurrent numeric
@attribute S1_OutputVoltage numeric
@attribute S1_OutputPower numeric
@attribute S1_SystemInertia numeric
@attribute M1_CURRENT_PROGRAM_NUMBER numeric
@attribute M1_sequence_number numeric
@attribute M1_CURRENT_FEEDRATE numeric
@attribute Machining_Process {Prep,'Layer 1 Up','Layer 1 Down',Repositioning,'Layer 2 Up','Layer 2 Down','Layer 3 Up','Layer 3 Down',End}

@data
198,0,0,198,0,0,-0.284,0,329,0,0,158,0,0,158,0,0,-0.0839,0,333,0,-0.000001,119,0,0,119,0,0,0,0,0,0,-1160,0.001,0.687,-1160,0,0,-1.86,0,332,0,0,12,1,2,50,Prep
198,0,0,198,0,0,-0.284,0,329,0,0,158,0,0,158,0,0,-0.0839,0,333,0,-0.000001,119,0,0,119,0,0,0,0,0,0,-1160,0.001,0.687,-1160,0,0,-1.86,0,332,0,0,12,0,0,50,Prep
198,0,0,198,0,0,1.17,0,325,0,0.000001,158,0,0,158,0,0,-0.709,0,327,0,0.000001,119,0,0,119,0,0,0,0,0,0,905,0.00025,0.875,905,0,0,-0.176,0,324,0,-0.000001,12,0,0,50,Prep
198,0,0,198,0,0,-0.23,0,329,0,-0,158,0,0,158,0,0,-1.34,0,333,0,0,119,-0.025,-6.25,119,0,0,0,0,0,0,-1160,0.00075,0.188,-1160,0,0,-1.17,0,332,0,-0.000006,12,4,0,50,Prep
198,0,0,198,0,0,-0.23,0,329,0,-0,158,0,0,158,0,0,-1.34,0,333,0,0,119,-0.025,-6.25,119,0,0,0,0,0,0,-1160,0.00075,0.188,-1160,0,0,-1.17,0,332,0,-0.000006,12,0,0,50,Prep
198,0,0,198,0,0,-2.45,0,325,0,0,158,0,0,158,0,0,-0.0701,0,327,0,0,119,0,0,119,0,0,0,0,0,0,905,0,0,905,0,0,-0.0861,0,324,0,0.000002,12,0,0,50,Prep
198,0,0,198,0,0,-0.638,0,328,0,-0.000001,158,0,0,158,0,0,-0.723,0,332,0,0,119,0,0,119,0,0,0,0,0,0,-1160,0,0,-1160,0,0,-1.58,0,331,0,0,12,1,2,50,Prep
198,0,0,198,0,0,-0.638,0,328,0,-0.000001,158,0,0,158,0,0,-0.723,0,332,0,0,119,0,0,119,0,0,0,0,0,0,-1160,0,0,-1160,0,0,-1.58,0,331,0,0,12,0,0,50,Prep
198,0,0,198,0,0,-0.711,0,325,0,0.000002,158,0,0,158,0,0,-0.23,0,326,0,0,119,0,0,119,0,0,0,0,0,0,905,0.001,0,905,0,0,0.207,0,323,0,0.000001,12,0,0,50,Prep
198,0,0,198,0,0,-0.584,0,328,0,-0.000001,158,0,0,158,0,0,-0.0839,0,332,0,0,119,0,6.25,119,0,0,0,0,0,0,-1160,0,0.188,-1160,0,0,-1.23,0,331,0,-0.000007,12,4,0,50,Prep
