@relation experiment_05

@attribute X1_ActualPosition numeric
@attribute X1_ActualVelocity numeric
@attribute X1_ActualAcceleration numeric
@attribute X1_CommandPosition numeric
@attribute X1_CommandVelocity numeric
@attribute X1_CommandAcceleration numeric
@attribute X1_CurrentFeedback numeric
@attribute X1_DCBusVoltage numeric
@attribute X1_OutputCurrent numeric
@attribute X1_OutputVoltage numeric
@attribute X1_OutputPower numeric
@attribute Y1_ActualPosition numeric
@attribute Y1_ActualVelocity numeric
@attribute Y1_ActualAcceleration numeric
@attribute Y1_CommandPosition numeric
@attribute Y1_CommandVelocity numeric
@attribute Y1_CommandAcceleration numeric
@attribute Y1_CurrentFeedback numeric
@attribute Y1_DCBusVoltage numeric
@attribute Y1_OutputCurrent numeric
@attribute Y1_OutputVoltage numeric
@attribute Y1_OutputPower numeric
@attribute Z1_ActualPosition numeric
@attribute Z1_ActualVelocity numeric
@attribute Z1_ActualAcceleration numeric
@attribute Z1_CommandPosition numeric
@attribute Z1_CommandVelocity numeric
@attribute Z1_CommandAcceleration numeric
@attribute Z1_CurrentFeedback numeric
@attribute Z1_DCBusVoltage numeric
@attribute Z1_OutputCurrent numeric
@attribute Z1_OutputVoltage numeric
@attribute S1_ActualPosition numeric
@attribute S1_ActualVelocity numeric
@attribute S1_ActualAcceleration numeric
@attribute S1_CommandPosition numeric
@attribute S1_CommandVelocity numeric
@attribute S1_CommandAcceleration numeric
@attribute S1_CurrentFeedback numeric
@attribute S1_DCBusVoltage numeric
@attribute S1_OutputCurrent numeric
@attribute S1_OutputVoltage numeric
@attribute S1_OutputPower numeric
@attribute S1_SystemInertia numeric
@attribute M1_CURRENT_PROGRAM_NUMBER numeric
@attribute M1_sequence_number numeric
@attribute M1_CURRENT_FEEDRATE numeric
@attribute Machining_Process {Prep,'Layer 1 Up',End}

@data
198,0,0,198,0,0,-0.62,0.0194,327,0.709,-0.000001,158,0.025,12.5,158,0,0,-0.561,0.0175,326,1.4,-0.000001,119,0,0,119,0,0,0,0,0,0,-1510,-0.001,-0.5,-1510,0,0,0.444,0,327,0,0.000002,12,1,2,6,Prep
198,0,0,198,0,0,-0.779,0.0198,328,1.04,0.000002,158,0.025,12.5,158,0,0,0.159,0.0156,326,0.144,-0.000001,119,0,6.25,119,0,0,0,0,0,0,-1510,0.001,0.5,-1510,0,0,-0.4,0,328,0,0.000001,12,1,0,6,Prep
198,0,0,198,0,0,0.979,0.0192,327,2.62,0.000001,158,0,6.25,158,0,0,-0.51,0.0277,326,2.18,0.000002,119,0,6.25,119,0,0,0,0,0,0,-1510,0,-0.25,-1510,0,0,0.267,0,327,0,-0,12,1,0,6,Prep
198,0.025,12.5,198,0,0,-0.779,0.0179,327,1.84,0,158,0.025,12.5,158,0,0,0.0251,0.025,326,0.642,0.000003,119,0,0,119,0,0,0,0,0,0,-1510,0.001,0.5,-1510,0,0,0.443,0,327,0,0,12,1,0,6,Prep
198,-0.025,-12.5,198,0,0,-1.26,0.0164,328,1.35,0,158,0,6.25,158,0,0,-0.0582,0.0166,327,1.58,0,119,-0.025,-6.25,119,0,0,0,0,0,0,-1510,-0.00175,-0.438,-1510,0,0,0.865,0,327,0,-0.000004,12,1,0,6,Prep
198,0,0,198,0,0,0.34,0.0207,327,1.13,0.000002,158,0.025,12.5,158,0,0,-0.427,0.0184,326,0.942,0.000001,119,0,-6.25,119,0,0,0,0,0,0,-1510,-0.001,-0.5,-1510,0,0,0.443,0,327,0,0.000002,12,1,0,6,Prep
198,0,0,198,0,0,-0.46,0.0176,328,1.21,0.000002,158,0,6.25,158,0,0,-0.293,0.0205,326,0.781,0,119,-0.025,-12.5,119,0,0,0,0,0,0,-1510,-0.001,-0.75,-1510,0,0,0.566,0,327,0,0.000002,12,1,0,6,Prep
198,0,0,198,0,0,-1.9,0.0218,328,2.49,0.000001,158,0.025,12.5,158,0,0,-0.511,0.027,326,2.22,-0.000003,119,0,0,119,0,0,0,0,0,0,-1510,-0.001,-0.5,-1510,0,0,0.865,0,327,0,0,12,1,0,6,Prep
198,0.025,18.8,198,0,0,0.0197,0.0166,327,1.54,-0.000004,158,0.025,18.8,158,0,0,0.712,0.0188,326,1.37,0.000001,119,-0.025,-12.5,119,0,0,0,0,0,0,-1510,0.001,0,-1510,0,0,0.267,0,328,0,0.000001,12,1,0,6,Prep
198,0.025,12.5,198,0,0,-1.1,0.0197,328,1.13,0,158,0,0,158,0,0,0.0249,0.0167,326,0.403,0.000001,119,0.025,12.5,119,0,0,0,0,0,0,-1510,0,-0.25,-1510,0,0,0.566,0,328,0,0.000002,12,1,0,6,Prep
