@relation experiment_07

@attribute X1_ActualPosition numeric
@attribute X1_ActualVelocity numeric
@attribute X1_ActualAcceleration numeric
@attribute X1_CommandPosition numeric
@attribute X1_CommandVelocity numeric
@attribute X1_CommandAcceleration numeric
@attribute X1_CurrentFeedback numeric
@attribute X1_DCBusVoltage numeric
@attribute X1_OutputCurrent numeric
@attribute X1_OutputVoltage numeric
@attribute X1_OutputPower numeric
@attribute Y1_ActualPosition numeric
@attribute Y1_ActualVelocity numeric
@attribute Y1_ActualAcceleration numeric
@attribute Y1_CommandPosition numeric
@attribute Y1_CommandVelocity numeric
@attribute Y1_CommandAcceleration numeric
@attribute Y1_CurrentFeedback numeric
@attribute Y1_DCBusVoltage numeric
@attribute Y1_OutputCurrent numeric
@attribute Y1_OutputVoltage numeric
@attribute Y1_OutputPower numeric
@attribute Z1_ActualPosition numeric
@attribute Z1_ActualVelocity numeric
@attribute Z1_ActualAcceleration numeric
@attribute Z1_CommandPosition numeric
@attribute Z1_CommandVelocity numeric
@attribute Z1_CommandAcceleration numeric
@attribute Z1_CurrentFeedback numeric
@attribute Z1_DCBusVoltage numeric
@attribute Z1_OutputCurrent numeric
@attribute Z1_OutputVoltage numeric
@attribute S1_ActualPosition numeric
@attribute S1_ActualVelocity numeric
@attribute S1_ActualAcceleration numeric
@attribute S1_CommandPosition numeric
@attribute S1_CommandVelocity numeric
@attribute S1_CommandAcceleration numeric
@attribute S1_CurrentFeedback numeric
@attribute S1_DCBusVoltage numeric
@attribute S1_OutputCurrent numeric
@attribute S1_OutputVoltage numeric
@attribute S1_OutputPower numeric
@attribute S1_SystemInertia numeric
@attribute M1_CURRENT_PROGRAM_NUMBER numeric
@attribute M1_sequence_number numeric
@attribute M1_CURRENT_FEEDRATE numeric
@attribute Machining_Process {Prep,'Layer 1 Up','Layer 1 Down',Repositioning,'Layer 2 Up',End}

@data
198,0,0,198,0,0,-1.42,0.0227,327,0.355,0,158,-0.05,-18.8,158,0,0,0.858,0.0155,326,0.0614,-0,119,0,0,119,0,0,0,0,0,0,306,0.00075,0.375,306,0,0,0.499,0,327,0,0.000003,12,1,2,50,Prep
198,0.05,31.3,198,0,0,-1.74,0.0224,327,0.589,-0.000004,158,-0.025,-12.5,158,0,0,-0.419,0.0169,326,2.38,-0,119,0,0,119,0,0,0,0,0,0,306,0,0.188,306,0,0,0.79,0,327,0,-0.000003,12,1,0,50,Prep
198,0,0,198,0,0,0.18,0.0329,327,2.19,0.000002,158,-0.025,-12.5,158,0,0,-0.579,0.0164,326,2.92,-0,119,0,0,119,0,0,0,0,0,0,306,-0.001,-0.25,306,0,0,-1.3,0,327,0,-0.000006,12,1,0,50,Prep
198,0,0,198,0,0,-0.619,0.0198,327,1.01,0.000001,158,0,0,158,0,0,0.0597,0.017,326,1.16,-0.000001,119,0,0,119,0,0,0,0,0,0,306,0.00325,1.56,306,0,0,-3.81,0,327,0,0.000002,12,1,0,50,Prep
198,0,0,198,0,0,-0.779,0.0311,327,0.372,-0.000002,158,-0.025,-12.5,158,0,0,0.858,0.0163,326,0.669,0,119,0,0,119,0,0,0,0,0,0,306,0.001,0.25,306,0,0,0.79,0,327,0,0,12,1,0,50,Prep
198,0,0,198,0,0,-1.26,0.0192,327,1.35,0.000002,158,-0.025,-6.25,158,0,0,-0.1,0.0167,326,1.35,0,119,0,0,119,0,0,0,0,0,0,306,-0.001,-0.0625,306,0,0,0.79,0,327,0,-0.000001,12,1,0,50,Prep
198,0,12.5,198,0,0,-0.14,0.0196,327,1.77,0.000001,158,-0.05,-25,158,0,0,-0.739,0.017,326,3.02,-0,119,0,0,119,0,0,0,0,0,0,306,0,0,306,0,0,0.288,0,327,0,0.000002,12,1,0,50,Prep
198,0.025,12.5,198,0,0,-1.1,0.018,327,0.686,-0.000003,158,-0.05,-18.8,158,0,0,-0.418,0.0165,326,2.85,0,119,0,0,119,0,0,0,0,0,0,306,0.001,0.25,306,0,0,0.79,0,327,0,0,12,1,0,50,Prep
198,0,0,198,0,0,0.82,0.0247,327,3.02,0,158,0,0,158,0,0,2.78,0.024,326,2.96,-0,119,0,0,119,0,0,0,0,0,0,306,0.00175,0.438,306,0,0,0.499,0,327,0,0.000001,12,1,0,50,Prep
198,-0.025,-6.25,198,0,0,-2.22,0.0335,327,2.3,0.000001,158,-0.05,-18.8,158,0,0,-0.898,0.0171,326,2.7,0,119,0,0,119,0,0,0,0,0,0,306,-0.00075,-0.375,306,0,0,0.579,0,327,0,0,12,1,0,50,Prep
