@relation experiment_16

@attribute X1_ActualPosition numeric
@attribute X1_ActualVelocity numeric
@attribute X1_ActualAcceleration numeric
@attribute X1_CommandPosition numeric
@attribute X1_CommandVelocity numeric
@attribute X1_CommandAcceleration numeric
@attribute X1_CurrentFeedback numeric
@attribute X1_DCBusVoltage numeric
@attribute X1_OutputCurrent numeric
@attribute X1_OutputVoltage numeric
@attribute X1_OutputPower numeric
@attribute Y1_ActualPosition numeric
@attribute Y1_ActualVelocity numeric
@attribute Y1_ActualAcceleration numeric
@attribute Y1_CommandPosition numeric
@attribute Y1_CommandVelocity numeric
@attribute Y1_CommandAcceleration numeric
@attribute Y1_CurrentFeedback numeric
@attribute Y1_DCBusVoltage numeric
@attribute Y1_OutputCurrent numeric
@attribute Y1_OutputVoltage numeric
@attribute Y1_OutputPower numeric
@attribute Z1_ActualPosition numeric
@attribute Z1_ActualVelocity numeric
@attribute Z1_ActualAcceleration numeric
@attribute Z1_CommandPosition numeric
@attribute Z1_CommandVelocity numeric
@attribute Z1_CommandAcceleration numeric
@attribute Z1_CurrentFeedback numeric
@attribute Z1_DCBusVoltage numeric
@attribute Z1_OutputCurrent numeric
@attribute Z1_OutputVoltage numeric
@attribute S1_ActualPosition numeric
@attribute S1_ActualVelocity numeric
@attribute S1_ActualAcceleration numeric
@attribute S1_CommandPosition numeric
@attribute S1_CommandVelocity numeric
@attribute S1_CommandAcceleration numeric
@attribute S1_CurrentFeedback numeric
@attribute S1_DCBusVoltage numeric
@attribute S1_OutputCurrent numeric
@attribute S1_OutputVoltage numeric
@attribute S1_OutputPower numeric
@attribute S1_SystemInertia numeric
@attribute M1_CURRENT_PROGRAM_NUMBER numeric
@attribute M1_sequence_number numeric
@attribute M1_CURRENT_FEEDRATE numeric
@attribute Machining_Process {Prep,'Layer 1 Up','Layer 1 Down',Repositioning,End}

@data
151,0.05,25,151,0,0,0.451,0.0228,330,0.632,0.000002,73,0,12.5,73,0,0,-0.26,0.0152,328,1.63,0.000002,54.7,0,-6.25,54.7,0,0,0,0,0,0,-290,29.9,-18.4,-290,0,0,0.502,0,329,0,0.00114,12,1,2,50,Prep
151,0.025,12.5,151,0,0,0.223,0.0243,330,1.51,0.000004,73,0,6.25,73,0,0,-1.06,0.0205,328,1.88,-0.000001,54.7,0,6.25,54.7,0,0,0,0,0,0,-287,27,-7.44,-287,0,0,-0.22,0,329,0,0.000061,12,1,0,50,Prep
151,0.05,25,151,0,0,0.237,0.0188,330,0.869,0.000002,73,0,12.5,73,0,0,0.22,0.015,328,0.512,0,54.7,0,6.25,54.7,0,0,0,0,0,0,-285,24.1,-34.3,-285,0,0,-0.84,0,330,0,-0.00124,12,1,0,50,Prep
151,-0.025,-12.5,151,0,0,0.451,0.0202,329,1.9,-0.000003,73,0,0,73,0,0,0.22,0.0231,328,1.35,0.000001,56.8,50.9,163,57.2,50,0,0,0,0,0,-282,21.2,-41.9,-282,0,0,0.00327,0,329,0,0.000577,12,1,0,50,Prep
151,0.025,12.5,151,0,0,0.367,0.0244,329,1.91,0.000002,73,0,0,73,0,0,-0.899,0.0212,328,1.5,0,61.6,49.9,6.25,62,50,0,0,0,0,0,-280,18.8,-23.1,-280,0,0,-0.28,0,329,0,-0.00161,12,1,0,50,Prep
151,-0.025,-12.5,151,0,0,-1.06,0.0231,329,4.86,-0.000003,73,0,0,73,0,0,-0.58,0.022,328,2.3,0.000002,66.8,50,12.5,67.2,50,0,0,0,0,0,-279,16,-4.38,-279,0,0,0.583,0,329,0,-0.000014,12,1,0,50,Prep
151,-0.025,-18.8,151,0,0,1.21,0.0223,329,2.61,-0.000001,73,0,0,73,0,0,0.0602,0.0335,328,0.465,-0,71.8,50,18.8,72.2,50,0,0,0,0,0,-277,13.5,-24.9,-277,0,0,0.203,0,329,0,-0.00047,12,1,0,50,Prep
151,0,-12.5,151,0,0,0.154,0.0163,329,3.23,0,73,0,0,73,0,0,-0.26,0.016,328,0.801,-0.000002,76.8,50,43.8,77.2,50,0,0,0,0,0,-276,11,-36.1,-276,0,0,-0.092,0,329,0,-0.000796,12,1,0,50,Prep
151,-0.025,-18.8,151,0,0,0.384,0.0192,329,4.1,0,73,0.025,6.25,73,0,0,0.221,0.0245,328,0.269,0.000002,81.8,49.8,-37.5,82.2,50,0,0,0,0,0,-275,8.62,-24.7,-275,0,0,-0.267,0,329,0,-0.00117,12,1,0,50,Prep
151,-0.025,-18.8,151,0,0,0.878,0.019,329,1.92,-0.000003,73,0,0,73,0,0,0.22,0.0195,328,0.191,0.000003,86.8,50,56.3,87.2,50,0,0,0,0,0,-274,6.31,-8.81,-274,0,0,-0.924,0,329,0,-0.00102,12,1,0,50,Prep
198,0,0,198,0,0,0.659,0,330,0,-0.000001,158,0,0,158,0,0,-0.42,0,329,0,0,119,0,0,119,0,0,0,0,0,0,-273,0.001,0.5,-273,0,0,0.193,0,330,0,0,12,1,2,50,Prep
198,0.025,6.25,198,0,0,-0.297,0,330,0,0,158,0,0,158,0,0,-0.733,0,329,0,0,119,0,0,119,0,0,0,0,0,0,-273,0,0.25,-273,0,0,0.423,0,330,0,-0.000002,12,1,0,50,Prep
198,0,0,198,0,0,-0.299,0,330,0,-0.000001,158,0,0,158,0,0,0.377,0,329,0,0.000001,119,0,0,119,0,0,0,0,0,0,-273,0.00075,-0.0625,-273,0,0,2.47,0,330,0,0.000003,12,1,0,50,Prep
198,0,0,198,0,0,-0.619,0,330,0,-0.000001,158,0,0,158,0,0,0.0576,0,329,0,-0.000002,119,0,0,119,0,0,0,0,0,0,-273,0.00075,0.625,-273,0,0,0.193,0,330,0,0.000009,12,1,0,50,Prep
198,0,0,198,0,0,-0.14,0,331,0,-0.000002,158,0,0,158,0,0,-0.74,0,329,0,0,119,0,0,119,0,0,0,0,0,0,-273,0.001,0.5,-273,0,0,1.22,0,330,0,0,12,1,0,50,Prep
198,0,0,198,0,0,-0.301,0,330,0,0,158,0,0,158,0,0,-0.898,0,329,0,0.000002,119,0,0,119,0,0,0,0,0,0,-273,0.00175,0.875,-273,0,0,-0.0896,0,330,0,0.000003,12,1,0,50,Prep
198,0,0,198,0,0,0.0189,0,330,0,0.000001,158,0,0,158,0,0,-0.417,0,329,0,-0.000002,119,0,-6.25,119,0,0,0,0,0,0,-273,-0.001,-0.5,-273,0,0,0.193,0,330,0,0,12,1,0,50,Prep
198,0,0,198,0,0,-1.1,0,330,0,0,158,0,0,158,0,0,0.693,0,329,0,0.000002,119,0,0,119,0,0,0,0,0,0,-273,0.001,0.687,-273,0,0,-0.0368,0,330,0,-0.000003,12,1,0,50,Prep
198,0,0,198,0,0,-0.78,0,331,0,0,158,0,0,158,0,0,-0.898,0,329,0,0,119,0,0,119,0,0,0,0,0,0,-273,-0.00175,-0.438,-273,0,0,0.423,0,330,0,-0.000001,12,1,0,50,Prep
198,0,6.25,198,0,0,-1.58,0,331,0,-0.000001,158,0,0,158,0,0,-1.06,0,329,0,0,119,0,0,119,0,0,0,0,0,0,-273,0,-0.188,-273,0,0,0.193,0,330,0,0.000004,12,1,0,50,Prep
198,0,0,198,0,0,-1.9,0,330,0,0.000002,158,0,0,158,0,0,-0.42,0,329,0,0.000002,119,-0.025,-6.25,119,0,0,0,0,0,0,-273,0.00175,0.875,-273,0,0,1.27,0,330,0,0,12,1,2,50,Prep
198,0,0,198,0,0,-0.301,0,330,0,0,158,0.025,12.5,158,0,0,-0.898,0,329,0,-0.000004,119,0,0,119,0,0,0,0,0,0,-273,0,-0.25,-273,0,0,1.5,0,330,0,0.000003,12,1,0,50,Prep
198,-0.025,-12.5,198,0,0,-0.46,0,330,0,0.000002,158,0,0,158,0,0,0.222,0,329,0,0.000002,119,0,0,119,0,0,0,0,0,0,-273,-0.002,-0.5,-273,0,0,0.193,0,330,0,-0.000006,12,1,0,50,Prep
198,0,0,198,0,0,-1.1,0,330,0,-0.000002,158,0,0,158,0,0,-0.578,0,329,0,-0.000005,119,0,0,119,0,0,0,0,0,0,-273,0,0.188,-273,0,0,0.706,0,330,0,0,12,1,0,50,Prep
198,0,6.25,198,0,0,0.658,0,330,0,0,158,0,0,158,0,0,-0.262,0,329,0,0.000002,119,0,0,119,0,0,0,0,0,0,-273,0.001,0.5,-273,0,0,0.476,0,330,0,0,12,1,0,50,Prep
198,0,0,198,0,0,-0.14,0,330,0,-0.000002,158,0,0,158,0,0,-0.891,0,329,0,0.000002,119,0,0,119,0,0,0,0,0,0,-273,0.004,1.25,-273,0,0,0.476,0,330,0,0.000007,12,1,0,50,Prep
198,0,0,198,0,0,-0.461,0,330,0,0,158,0,0,158,0,0,-1.21,0,329,0,0.000002,119,0,0,119,0,0,0,0,0,0,-273,-0.002,-0.5,-273,0,0,1.22,0,330,0,-0.000013,12,1,0,50,Prep
198,0,6.25,198,0,0,-0.141,0,330,0,0.000002,158,0,0,158,0,0,-0.1,0,329,0,-0.000002,119,0,0,119,0,0,0,0,0,0,-273,0,0.438,-273,0,0,-0.0368,0,330,0,0,12,1,0,50,Prep
198,0,0,198,0,0,-0.459,0,330,0,-0.000001,158,0,0,158,0,0,-0.578,0,329,0,-0.000001,119,0,0,119,0,0,0,0,0,0,-273,0,0,-273,0,0,0.989,0,330,0,-0.000002,12,1,0,50,Prep
198,0,0,198,0,0,-0.458,0,330,0,-0.000003,158,0,0,158,0,0,-0.736,0,329,0,0,119,0,0,119,0,0,0,0,0,0,-273,-0.001,0.188,-273,0,0,1.22,0,330,0,-0.000003,12,1,0,50,Prep
198,0,0,198,0,0,-0.619,0,330,0,0,158,0,0,158,0,0,-0.0971,0,329,0,0.000003,119,0,0,119,0,0,0,0,0,0,-273,0.00075,0.188,-273,0,0,0.989,0,330,0,0.000002,12,1,2,50,Prep
198,0.025,6.25,198,0,0,1.3,0,331,0,-0.000001,158,0,0,158,0,0,-0.101,0,329,0,0.000001,119,0,0,119,0,0,0,0,0,0,-273,0.001,0.5,-273,0,0,0.193,0,330,0,-0.000004,12,1,0,50,Prep
198,0,0,198,0,0,0.339,0,331,0,0.000004,158,0,0,158,0,0,-0.101,0,329,0,0.000001,119,0,0,119,0,0,0,0,0,0,-273,-0.001,-0.25,-273,0,0,0.193,0,330,0,0,12,1,0,50,Prep
198,0,0,198,0,0,0.179,0,331,0,0.000002,158,0,0,158,0,0,-0.898,0,329,0,0.000002,119,0,0,119,0,0,0,0,0,0,-273,-0.00175,-0.625,-273,0,0,0.706,0,330,0,-0.000005,12,1,0,50,Prep
198,0,0,198,0,0,1.46,0,331,0,0,158,0,0,158,0,0,-0.578,0,329,0,-0.000001,119,0,0,119,0,0,0,0,0,0,-273,0.00075,0.625,-273,0,0,0.706,0,330,0,0.000005,12,1,0,50,Prep
198,0,6.25,198,0,0,0.0188,0,330,0,-0.000002,158,0,0,158,0,0,-1.22,0,329,0,0,119,0,0,119,0,0,0,0,0,0,-273,0,0.25,-273,0,0,0.476,0,330,0,-0.000004,12,1,0,50,Prep
198,0,0,198,0,0,-0.779,0,330,0,0,158,0,0,158,0,0,-0.262,0,329,0,-0.000005,119,0,0,119,0,0,0,0,0,0,-273,-0.00175,-0.875,-273,0,0,0.989,0,330,0,-0.000003,12,1,0,50,Prep
198,0,0,198,0,0,-1.74,0,330,0,0,158,0,0,158,0,0,-2.17,0,329,0,-0.000002,119,0,0,119,0,0,0,0,0,0,-273,0,0,-273,0,0,0.476,0,330,0,0,12,1,0,50,Prep
198,0,0,198,0,0,0.0199,0,330,0,-0.000001,158,0,0,158,0,0,-0.578,0,329,0,0,119,0.025,12.5,119,0,0,0,0,0,0,-273,-0.001,-0.25,-273,0,0,0.989,0,330,0,-0.000004,12,1,0,50,Prep
198,0,0,198,0,0,0.659,0,331,0,0,158,0,0,158,0,0,-0.101,0,329,0,-0.000004,119,0,0,119,0,0,0,0,0,0,-273,0,-0.25,-273,0,0,1.45,0,330,0,0,12,1,0,50,Prep
198,0,6.25,198,0,0,-0.3,0,330,0,-0.000001,158,0,0,158,0,0,-1.05,0,329,0,0.000003,119,0,0,119,0,0,0,0,0,0,-273,0,-0.25,-273,0,0,0.193,0,330,0,-0.000004,12,1,2,50,Prep
198,0,0,198,0,0,-0.461,0,330,0,-0.000002,158,0,0,158,0,0,-3.28,0,329,0,-0.000002,119,0,0,119,0,0,0,0,0,0,-273,-0.001,-0.0625,-273,0,0,0.706,0,330,0,-0.000001,12,1,0,50,Prep
198,0,0,198,0,0,0.18,0,330,0,0,158,0,6.25,158,0,0,-0.101,0,329,0,0,119,0,0,119,0,0,0,0,0,0,-273,-0.00175,-0.625,-273,0,0,0.706,0,330,0,0,12,1,0,50,Prep
198,0,0,198,0,0,-1.58,0,330,0,0.000004,158,0,0,158,0,0,-1.69,0,329,0,-0.000002,119,0,0,119,0,0,0,0,0,0,-273,-0.002,-0.5,-273,0,0,0.476,0,330,0,-0.000004,12,1,0,50,Prep
198,0,6.25,198,0,0,0.0188,0,330,0,-0.000002,158,0,0,158,0,0,-0.74,0,329,0,0.000001,119,0,0,119,0,0,0,0,0,0,-273,-0.00075,-0.625,-273,0,0,0.423,0,330,0,-0.000003,12,1,0,50,Prep
198,0,6.25,198,0,0,-1.26,0,331,0,-0.000002,158,0,0,158,0,0,0.858,0,329,0,-0.000001,119,0,0,119,0,0,0,0,0,0,-273,0,0,-273,0,0,1.5,0,330,0,0,12,1,0,50,Prep
198,0,0,198,0,0,-0.46,0,331,0,0.000004,158,0,0,158,0,0,-1.7,0,329,0,-0.000006,119,0,0,119,0,0,0,0,0,0,-273,0,0,-273,0,0,0.193,0,330,0,0.000003,12,1,0,50,Prep
198,0,0,198,0,0,-0.78,0,330,0,0,158,0,0,158,0,0,-1.21,0,329,0,0.000005,119,0,0,119,0,0,0,0,0,0,-273,-0.00175,-0.438,-273,0,0,0.476,0,330,0,-0.000006,12,1,0,50,Prep
198,0,0,198,0,0,0.818,0,330,0,0.000003,158,0,0,158,0,0,-1.21,0,329,0,-0.000001,119,0,0,119,0,0,0,0,0,0,-273,0,0,-273,0,0,0.246,0,330,0,-0.000004,12,1,0,50,Prep
198,-0.025,-12.5,198,0,0,-0.3,0,331,0,0.000002,158,0,0,158,0,0,-0.42,0,329,0,0.000004,119,0,0,119,0,0,0,0,0,0,-273,0.00075,0.188,-273,0,0,0.476,0,330,0,0,12,1,0,50,Prep
198,-0.025,-6.25,198,0,0,-0.779,0,330,0,0.000001,158,0,0,158,0,0,-1.06,0,329,0,0,119,0,0,119,0,0,0,0,0,0,-273,-0.00075,-0.625,-273,0,0,0.989,0,330,0,0.000004,12,1,2,50,Prep
198,0,0,198,0,0,-0.301,0,330,0,0.000004,158,0.025,6.25,158,0,0,-0.104,0,329,0,0,119,0,0,119,0,0,0,0,0,0,-273,0.00075,0.375,-273,0,0,0.706,0,330,0,0.000003,12,1,0,50,Prep
