@relation experiment_01-weka.filters.unsupervised.attribute.Remove-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.RemoveWithValues-S1.0-C49-Lfirst-last

@attribute X1_ActualPosition numeric
@attribute X1_ActualVelocity numeric
@attribute X1_ActualAcceleration numeric
@attribute X1_CommandPosition numeric
@attribute X1_CommandVelocity numeric
@attribute X1_CommandAcceleration numeric
@attribute X1_CurrentFeedback numeric
@attribute X1_DCBusVoltage numeric
@attribute X1_OutputCurrent numeric
@attribute X1_OutputVoltage numeric
@attribute X1_OutputPower numeric
@attribute Y1_ActualPosition numeric
@attribute Y1_ActualVelocity numeric
@attribute Y1_ActualAcceleration numeric
@attribute Y1_CommandPosition numeric
@attribute Y1_CommandVelocity numeric
@attribute Y1_CommandAcceleration numeric
@attribute Y1_CurrentFeedback numeric
@attribute Y1_DCBusVoltage numeric
@attribute Y1_OutputCurrent numeric
@attribute Y1_OutputVoltage numeric
@attribute Y1_OutputPower numeric
@attribute Z1_ActualPosition numeric
@attribute Z1_ActualVelocity numeric
@attribute Z1_ActualAcceleration numeric
@attribute Z1_CommandPosition numeric
@attribute Z1_CommandVelocity numeric
@attribute Z1_CommandAcceleration numeric
@attribute Z1_CurrentFeedback numeric
@attribute Z1_DCBusVoltage numeric
@attribute Z1_OutputCurrent numeric
@attribute Z1_OutputVoltage numeric
@attribute S1_ActualPosition numeric
@attribute S1_ActualVelocity numeric
@attribute S1_ActualAcceleration numeric
@attribute S1_CommandPosition numeric
@attribute S1_CommandVelocity numeric
@attribute S1_CommandAcceleration numeric
@attribute S1_CurrentFeedback numeric
@attribute S1_DCBusVoltage numeric
@attribute S1_OutputCurrent numeric
@attribute S1_OutputVoltage numeric
@attribute S1_OutputPower numeric
@attribute S1_SystemInertia numeric
@attribute M1_CURRENT_PROGRAM_NUMBER numeric
@attribute M1_sequence_number numeric
@attribute M1_CURRENT_FEEDRATE numeric
@attribute Machining_Process {0,1,2,3,4,5,6,7,8,9}
@attribute id numeric
@attribute feedrate numeric
@attribute clampPressure numeric
@attribute toolCondition numeric

@data
0.178571,0.330239,0.470588,0.175439,0.328571,0.5,0.532277,0.151185,0.7,0.113276,0.121666,0.024533,0.392428,0.435662,0.024533,0.393204,0.5,0.423248,0.123029,0.7,0.05043,0.103973,0.024044,0.50293,0.498024,0.024044,0.5,0.5,0,0,0,0,0.708605,0.990718,0.4975,0.708837,1,0,0.356746,0.274367,0.825,0.915385,0.297154,0,0.25,0.014815,0,0,1,0,0,1
0.196429,0.331927,0.479779,0.192982,0.328571,0.5,0.524554,0.134023,0.7,0.089131,0.121826,0.024533,0.392728,0.440257,0.024533,0.393204,0.5,0.417436,0.124462,0.7,0.032322,0.103762,0.024044,0.50293,0.498024,0.024044,0.5,0.5,0,0,0,0,0.71,0.988862,0.349,0.71,1,0,0.376056,0.296519,0.85,0.915385,0.318134,0,0.25,0.148148,0,0,1,0,0,1
0.196429,0.331927,0.488971,0.192982,0.328571,0.5,0.541782,0.181694,0.7,0.116195,0.123725,0.024533,0.392728,0.440257,0.024533,0.393204,0.5,0.417778,0.122074,0.7,0.046522,0.103571,0.024044,0.50293,0.498024,0.024044,0.5,0.5,0,0,0,0,0.711163,0.992575,0.700667,0.711163,1,0,0.269853,0.252848,0.825,0.915385,0.270928,0,0.25,0.148148,0,0,1,0,0,1
0.196429,0.330942,0.488971,0.192982,0.328571,0.5,0.556436,0.222555,0.7,0.135033,0.126561,0.024533,0.392428,0.435662,0.024533,0.393204,0.5,0.423077,0.118729,0.7,0.04053,0.103571,0.024044,0.50293,0.495553,0.024044,0.5,0.5,0,0,0,0,0.712326,0.992575,0.452333,0.712558,1,0,0.309679,0.283228,0.825,0.876923,0.305896,0,0.25,0.148148,0,0,1,0,0,1
0.214286,0.328692,0.491287,0.210526,0.328571,0.5,0.581584,0.242713,0.7,0.149626,0.127088,0.024533,0.392428,0.435662,0.024533,0.393204,0.5,0.428718,0.122312,0.7,0.05043,0.103571,0.024044,0.502686,0.495553,0.024044,0.5,0.5,0,0,0,0,0.713721,0.992575,0.604667,0.713721,1,0,0.312093,0.270253,0.85,0.923077,0.288412,0,0.25,0.148148,0,0,1,0,0,1
0.214286,0.329114,0.491287,0.210526,0.328571,0.5,0.565941,0.21629,0.7,0.12641,0.125235,0.024533,0.392428,0.435662,0.024533,0.393204,0.5,0.431453,0.118968,0.7,0.054078,0.104163,0.024044,0.50293,0.500494,0.024044,0.5,0.5,0,0,0,0,0.714884,0.990718,0.5279,0.714884,1,0,0.343471,0.304114,0.825,0.923077,0.326876,0,0.25,0.148148,0,0,1,0,0,1
0.214286,0.328411,0.493566,0.210526,0.328571,0.5,0.527723,0.161536,0.7,0.149626,0.122489,0.024533,0.392728,0.440257,0.024533,0.393204,0.5,0.433675,0.11849,0.7,0.055251,0.104374,0.024044,0.50293,0.500494,0.024044,0.5,0.5,0,0,0,0,0.716047,0.992575,0.529567,0.716279,1,0,0.307265,0.276582,0.825,0.876923,0.30065,0,0.25,0.148148,0,0,1,0,0,1
0.214286,0.329114,0.479779,0.210526,0.328571,0.5,0.529703,0.154726,0.7,0.111419,0.121345,0.024533,0.392428,0.435662,0.024533,0.393204,0.5,0.433846,0.113473,0.7,0.051342,0.103973,0.024044,0.503174,0.502964,0.024044,0.5,0.5,0,0,0,0,0.717442,0.990718,0.39,0.717442,1,0,0.357953,0.270253,0.85,0.923077,0.29016,0,0.25,0.148148,0,0,1,0,0,1
0.232143,0.331224,0.482096,0.22807,0.328571,0.5,0.52198,0.099973,0.7,0.086345,0.118874,0.024533,0.392428,0.435662,0.024533,0.393204,0.5,0.420342,0.11849,0.7,0.038315,0.103973,0.024044,0.50293,0.498024,0.024044,0.5,0.5,0,0,0,0,0.718605,0.990718,0.454,0.718605,1,0,0.300024,0.299367,0.825,0.907692,0.323379,0,0.25,0.148148,0,0,1,0,0,1
0.232143,0.331927,0.479779,0.22807,0.328571,0.5,0.541386,0.166712,0.7,0.105847,0.123084,0.024533,0.392728,0.440257,0.024533,0.393204,0.5,0.428376,0.117774,0.7,0.047955,0.103973,0.024044,0.50293,0.498024,0.024044,0.5,0.5,0,0,0,0,0.719767,0.994431,0.747333,0.72,1,0,0.278301,0.239873,0.85,0.884615,0.253444,0,0.25,0.148148,0,0,1,0,0,1
