2020-12-22 18:41:16,674 INFO  [org.jboss.modules] (main) JBoss Modules version 1.9.1.Final
2020-12-22 18:41:17,071 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.11.Final
2020-12-22 18:41:17,091 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.3.Final
2020-12-22 18:41:17,163 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: WildFly Full 18.0.1.Final (WildFly Core 10.0.3.Final) starting
2020-12-22 18:41:17,930 INFO  [org.wildfly.security] (Host Controller Service Threads - 4) ELY00001: WildFly Elytron version 1.10.4.Final
2020-12-22 18:41:18,444 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/host=master/core-service=management/management-interface=http-interface' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-12-22 18:41:18,526 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0003: Creating http management service using network interface (management) port (9990) securePort (-1)
2020-12-22 18:41:18,554 INFO  [org.xnio] (MSC service thread 1-2) XNIO version 3.7.3.Final
2020-12-22 18:41:18,569 INFO  [org.xnio.nio] (MSC service thread 1-2) XNIO NIO Implementation Version 3.7.3.Final
2020-12-22 18:41:18,760 INFO  [org.jboss.as.patching] (MSC service thread 1-1) WFLYPAT0050: WildFly Full cumulative patch ID is: base, one-off patches include: none
2020-12-22 18:41:18,775 WARN  [org.jboss.as.domain.management.security] (MSC service thread 1-7) WFLYDM0111: Keystore c:\enterprise\wildfly-18.0.1.Final\domain\configuration\application.keystore not found, it will be auto generated on first use with a self signed certificate for host localhost
2020-12-22 18:41:19,408 INFO  [org.jboss.remoting] (MSC service thread 1-6) JBoss Remoting version 5.0.15.Final
2020-12-22 18:41:22,193 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=default/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-12-22 18:41:22,258 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=ha/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-12-22 18:41:22,309 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=full/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-12-22 18:41:22,356 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=full-ha/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-12-22 18:41:22,786 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server server-one
2020-12-22 18:41:28,485 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0021: Server [Server:server-one] connected using connection [Channel ID 2578d905 (inbound) of Remoting connection 45053d14 to 127.0.0.1/127.0.0.1:13089 of endpoint "master:MANAGEMENT" <167f51fa>]
2020-12-22 18:41:28,565 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server server-two
2020-12-22 18:41:28,656 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server server-one
2020-12-22 18:41:37,526 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0021: Server [Server:server-two] connected using connection [Channel ID 218a2b99 (inbound) of Remoting connection 65aa083e to 127.0.0.1/127.0.0.1:13173 of endpoint "master:MANAGEMENT" <167f51fa>]
2020-12-22 18:41:37,652 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server server-two
2020-12-22 18:41:37,678 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0062: Http management interface listening on http://127.0.0.1:9990/management and https://127.0.0.1:-1/management
2020-12-22 18:41:37,680 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0053: Admin console listening on http://127.0.0.1:9990 and https://127.0.0.1:-1
2020-12-22 18:41:37,681 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Full 18.0.1.Final (WildFly Core 10.0.3.Final) (Host Controller) started in 21894ms - Started 79 of 81 services (25 services are lazy, passive or on-demand)
