2020-12-12 10:59:45,594 INFO  [org.jboss.modules] (main) JBoss Modules version 1.9.1.Final
2020-12-12 10:59:47,037 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.11.Final
2020-12-12 10:59:47,059 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.3.Final
2020-12-12 10:59:47,164 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: WildFly Full 18.0.1.Final (WildFly Core 10.0.3.Final) starting
2020-12-12 10:59:49,066 INFO  [org.wildfly.security] (Host Controller Service Threads - 4) ELY00001: WildFly Elytron version 1.10.4.Final
2020-12-12 10:59:49,852 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/host=master/core-service=management/management-interface=http-interface' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-12-12 10:59:50,071 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0003: Creating http management service using network interface (management) port (9990) securePort (-1)
2020-12-12 10:59:50,126 INFO  [org.xnio] (MSC service thread 1-3) XNIO version 3.7.3.Final
2020-12-12 10:59:50,146 INFO  [org.xnio.nio] (MSC service thread 1-3) XNIO NIO Implementation Version 3.7.3.Final
2020-12-12 10:59:50,364 INFO  [org.jboss.remoting] (MSC service thread 1-2) JBoss Remoting version 5.0.15.Final
2020-12-12 10:59:50,446 INFO  [org.jboss.as.patching] (MSC service thread 1-1) WFLYPAT0050: WildFly Full cumulative patch ID is: base, one-off patches include: none
2020-12-12 10:59:50,493 WARN  [org.jboss.as.domain.management.security] (MSC service thread 1-3) WFLYDM0111: Keystore c:\enterprise\wildfly-18.0.1.Final\domain\configuration\application.keystore not found, it will be auto generated on first use with a self signed certificate for host localhost
2020-12-12 11:00:00,610 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=default/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-12-12 11:00:00,685 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=ha/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-12-12 11:00:00,744 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=full/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-12-12 11:00:00,796 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=full-ha/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-12-12 11:00:01,333 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server server-one
2020-12-12 11:00:05,920 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0021: Server [Server:server-one] connected using connection [Channel ID 7e72607f (inbound) of Remoting connection 08bbb402 to 127.0.0.1/127.0.0.1:1064 of endpoint "master:MANAGEMENT" <54cc5c56>]
2020-12-12 11:00:06,018 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server server-two
2020-12-12 11:00:06,118 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server server-one
2020-12-12 11:00:16,373 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0021: Server [Server:server-two] connected using connection [Channel ID 067fd1b7 (inbound) of Remoting connection 358bd532 to 127.0.0.1/127.0.0.1:1115 of endpoint "master:MANAGEMENT" <54cc5c56>]
2020-12-12 11:00:16,570 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0062: Http management interface listening on http://127.0.0.1:9990/management and https://127.0.0.1:-1/management
2020-12-12 11:00:16,587 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0053: Admin console listening on http://127.0.0.1:9990 and https://127.0.0.1:-1
2020-12-12 11:00:16,588 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Full 18.0.1.Final (WildFly Core 10.0.3.Final) (Host Controller) started in 33658ms - Started 79 of 81 services (25 services are lazy, passive or on-demand)
2020-12-12 11:00:16,688 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server server-two
